"These people are  scientists that are called meteorologists.","እዞም ሰባት እዚኦም ተመራመርቲ ስነ-ፍልጠት ኮይኖም፣ ሜትዮሮሎጂስት ከኣ ይበሃሉ።"
"They use computers to build large mathematical models to follow weather trends.","ዓቢ ቁጽራዊ ሞዴል ወይ ንድፊ ንምህናጽ፣ ብኡ ከኣ ኣንፈት ኩነታት ኣየር ንምክትታል ኮምፑተር ይጥቐሙ።"
"Bad weather can hurt people and their property.","ሕማቅ ኩነታት ኣየር ንሰባትን ንብረቶምን ክጎድእ ይክእል።"
"It can also just be a bother.","ብተወሳኺ ውን ኣሸጋሪ ወይ ኣሻቃሊ ክከውን ይክእል ኢዩ።"
"Some examples of bad weather are:","ገለ ኣብነታት ናይ ሕማቅ ኩነታት ኣየር፣"
"Tropical cyclones","ትሮፒካዊ ሳይክሎን(ኣሽከርካሪ ህቦብላ ንፋስ)"
"Rainstorms","ማዕበላዊ ዝናብ"
"Drought","ደርቂ"
"Heat waves","ነበልባላት ዋዒ"
"Frost","ኣሳሓይታ"
"Fog","ግመ"
"Tornadoes","ህቦብላታት"
"Causes of weather","ጠንቂ ኩነታት ኣየር"
"Weather happens because different parts of the Earth get different amounts of heat from the Sun.","ኩነታት ኣየር ዘጋጥም፣ ምኽንያቱ ዝተፈላለየ ክፋላት ምድሪ ዝተፈላለየ ኣቐን ዋዒ ካብ ጸሓይ ስለ ዝረክብ ኢዩ።"
"This makes different climates.","እዚ ከኣ ዝተፈላለየ ክሊማ ከምዝህሉ ይገብር።"
"The tropics get the most heat because the Sun shines straight down on them, while the poles get the least heat because the Sun shines on them from a low angle.","ትሮፒክስ እቶም ዝበዝሐ ዋዒ ዝረክቡ ኢዮም፣ ምክንያቱ ጸሓይ ብትኽክል ኣብ ልዕሊኦም ስለ እተብርህ፣ በንጻሩ ዋልታ ምድሪ እቶም ዝወሓደ ዋዒ ዝረኽቡ ኢዮም፣ ምክንያቱ ጸሓይ ካብ ትሑት ኩርናዕ ኣብኦም ስለ እተብርህ።"
"Warmer air is lighter than cooler air and rises higher in the sky by convection.","ውዑይ ኣየር ካብ ዝሑል ኣየር ዝፈኾሰ ኮይኑ ብምትሕልላፍ ሙቐት ወይ ዋዒ ናብ ላዕሊ ጠፈር ይዓርግ።"
"The air always has some water mixed with it.","ኣየር ኩሉ ግዜ ምስኡ ዝተሓወሰ ውሑድ ማይ ኣለዎ።"
"This is called humidity.","እዚ ከኣ ጠሊ ይበሃል።"
"When it cools, the water can change from a gas to a liquid through condensation.","ኣየር ምስ ዝዝሕል፣ እቲ ማይ ካብ ጋዝ ብ ድስካለ ናብ ፈሳሲ ይቕየር።"
"Then the water can fall from the sky as rain or snow.","ብድሕሪኡ እቲ ማይ ከም ዝናብ ወይ በረድ ኮይኑ ካብ ሰማይ ክወድቅ/ክወርድ ይክእል።"
"After the air rises, it gets colder and goes back towards the ground.","ኣየር ድሕሪ ምዕራጉ፣ ይዝሕል እሞ ናብ ምድሪ ከኣ ይምለስ።"
"Because the air lost its water before, it is dry when it comes back to the ground.","እቲ ኣየር ኣቐዲሙ እቲ ማዩ ስለ ዝጠፍእ፣ ናብ ምድሪ ምስተመልሰ ንቁጽ/ጽሙእ ይከውን።"
"Wind is made when two areas of air of different temperatures meet.","ዝተፈላለየ ሙቐት ዘለዎም ኣየር ናይ ክልተ ቦታታት ምስ ዝራኸቡ፣ ንፋስ ይፍጠር።"
"This is called a warm front or cold front.","እዚ ከኣ ውዑይ ገጽ(ፍሮንት) ወይ ዝሑል ገጽ(ፍሮንት) ይበሃል።"
"The hot air is forced to rise over the cold causing condensation which forms rain.","ውዑይ ኣየር ኣብ ልዕሊ ዝሑል ኣየር ንክዓርግ ይድርኽ፣ ድስካለ ከኣ የስዕብ እሞ ዝናብ ከኣ የቕውም።"
"The ways that the air moves around the Earth are called atmospheric circulation.","መስርሕ ምንቅስቃስ ኣየር ኣብ ከባቢ ምድሪ ጠፈራዊ ዙረት ይበሃል።"
"Climate change means the difference in the Earth's global climate or in regional climates over time.","ምቅይያር ክሌማ ምስ ግዜ ዝርአ ፍልልይ ኣብ ናይ ምድሪ ሓፈሻዊ ክሌማ ወይ ኣብ ከባብያዊ ክሌማታት ማለት እዩ ።"
"It describes changes in the state of the atmosphere over time scales ranging from decades to millions of years.","እዚ ካብ ዑቕድ ክሳብ ሚልዮናት ዓመታት ዝዝርጋሕ ናይ ክፍለ ግዜ ዝርአ ለውጥታት ኣብ ኩነታት ናይ ጠፈር ይገልጽ።"
"These changes can be caused by processes inside the Earth, forces from outside (e.g.","እዞም ለውጥታት እዚኦም ብመስርሓት ናይ ውሽጢ ምድሪ፡ ብደገ ዝመጹ ሓይልታት ( ንኣብነት ክስዕቡ ይኽእሉ።"
"variations in sunlight intensity) or, more recently, human activities.","ፍልልያት ኣብ ብርትዐ ናይ ጸሃይ ጩራ) ወይ ኣብ እዚ ቀረባ ግዜ፡ ብናይ ደቂሰባት ንጥፈታት።"
"Ice ages are prominent examples.","ዘመነ በረድ ጉሉሕ ኣብነታት እዮም።"
"Climate change is any significant long-term change in the expected patterns of average weather of a region (or the whole Earth) over a significant period of time.","ለውጢ ክሌማ ዝኾነ ዓቢ ንነዊሕ ዝጸንሕ ለውጢ ኣብ እቲ ኣብ ትጽቢት ዘሎ ባህርያት ናይ ገምጋም ኩነታት ኣየር ናይ ሓደ ከባቢ (ወይ ምሉእ ምድሪ) ኣብ ሓደ ዓቢ ክፍለ ግዜ እዩ።"
"Climate change is about abnormal variations to the climate, and the effects of these variations on other parts of the Earth.","ክሌማዊ ለውጢ ብዛዕባ ዘይንቡር ፍልልያት ናይ ክሌማ፡ ከምኡ ድማ ናይ እዞም ፍልልያት ጽልዋ ኣብ ካልኦት ክፋላት ናይ ምድሪ እዩ።"
"Examples include melting of the ice caps at the South Pole and North Pole.","ኣብነታት ምምካኽ ናይ በረድ ኣብ ደቡባዊ ዋልታ-ምድሪን ሰሜናዊ ዋልታ-ምድርን የጠቓልል።"
"These changes may take tens, hundreds or perhaps millions of years.","እዞም ለውጥታት እዚኦም ዓሰርተታት፡ ኣማኢት ወይ ምናልባት ሚልዮናት ዓመታት ክወስዱ ይኽእሉ።"
"In recent usage, especially in the context of environmental policy, climate change usually refers to changes in modern climate (see global warming).","ኣብ ናይ ቐረባ ልምዲ፡ ብፍላይ ኣብ ዛዕባ ከባብያዊ ፖሊሲ፡ ክሊማዊ ለውጢ መብዛሕትኡ ግዜ ንለውጥታት ዘመናዊ ክሌማ ( ዓለማዊ ዋዒ ረአ) የመልክት።"
"Some people have suggested trying to keep Earth’s temperature increase below two degrees Celsius, or 3.6 degrees Fahrenheit.","ገለ ሰባት ምውሳኽ ምቖት ምድሪ ትሕቲ ክልተ ዲግሪ ሰንትግሬድ፡ ወይ 3.6 ዲግሪ ፋራንሃይት ክዕቀብ ሓሳብ ይህቡ።"
"On February 7, 2018,  The Washington Post reported on a study by scientists in Germany.","ኣብ ለካቲት 7፡ 2018፡ ጋዜጣ ዋሽንግቶን ኣብ ጀርመን ብስነ-ፍልጠተናታት ዝተኻየደ መጽናዕቲ ጸብጻብ ሂባ ኔራ።"
"The study said that if the world built all of the coal plants that were currently planned, carbon dioxide levels would rise so much that the world would not be able to keep the temperature increase below this limit.","ኣቲ መጽናዕቲ ከም ዝሓበሮ ዓለም ነቶም ኣብ እዚ ግዜ ተወጢኖም ዝነበሩ ኩሎም ናይ ከሰል ትካላት እንተደኣ ሃኒጻቶም፡ መጠን ካርቦንዳዮክሳይድ ኣዝዩ ክውስኽ እዩ እዚ ከኣ ዓለም ነቲ ምውሳኽ ናይ ምቆት ትሕቲ እዚ ደረት ክትዕቅቦ ክሳብ ዘይትኽእለሉ ክኽውን እያ።"
"Liverpool Football Club () is a professional association football club based in Liverpool, Merseyside, England.","ሊቨርፑል ኩዕሶ እግሪ ክለብ () ኣብ ሊቨርፑል፡ መርሲሳይድ፡ ዓዲ-እንግሊዝ ዝተደኮነት ፕሮፌሽናል ማሕበር ኩዕሶ እግሪ ክለብ እያ።"
"They play in the Premier League, the top tier of English football.","ኣብ ፕሪመር ሊግ፡ ላዕለዋይ ደረጃ ኩዕሶ እግሪ ዓዲ-እንግሊዝ እዮም ዝጻወቱ።"
"The club has won 5 European Cups, 3 UEFA Cups, 3 UEFA Super Cups, 18 League titles, 7 FA Cups, a record 8 EFL Cups, and 15 FA Community Shields.","ኣታ ክለብ 5 ናይ ኤውሮጳ ወናጩ፡ 3 ናይ ዩዌፋ ወናጩ፡ 3 ናይ ዩዌፋ ናይ ዕዉታት ዕውቲ ዋንጩ፡ 18 ናይ ሊግ ወናጩ፡ 7 ናይ ኤፍኤ ወናጩ፡ ሪከርድ ዝሓዘ 8 ናይ ኢፍኤል ወናጩ፡ ከምኡ ድማ 15 ናይ ኤፍኤ ማሕበር ዋልታታት ተዓዊ ኣላ።"
"Liverpool's anthem is ""You'll Never Walk Alone"".","ናይ ሊቨርፑል መዝሙር '' ንስኺ ፈጺምኪ በይንኺ ኣይክትጓዓዝን ኢኺ'' እያ።"
"History","ታሪኽ"
"Liverpool won their first Football League championship in 1901, and their second in 1906.","ሊቨርፑል ቀዳመይቲ ናይ ኩዕሶ እግሪ ናይ ሊግ ጎብለልነቶም ኣብ 1901 ተዓዊቶማ፡ ካልኣይቶም ከኣ ኣብ 1906."
"They played their first FA Cup final in 1914, losing 1–0 to Burnley.","ቀዳመይቲ ናይ ፍጻመ ዋንጫ ኤፍኤ ጸወትኦም ኣብ 1914 ተጻዊቶማ፡ ብበርንልይ ከኣ 1- 0 ተሳዒሮም።"
"The last trophy they won was the EFL Cup in February 2012, after beating Cardiff City.","እታ ናይ መወዳእታ ዝተዓወቱላ ዋንጫ ዋንጫ ኢፍኤል ኣብ ለካቲት 2012 እያ ኔራ፡ ንንካርዲፍ ሲቲ ድሕሪ ምስዓር።"
"They have also won the Champions League five times, the most of any British side.","ንዋንጫ ጎባልል ክለባት ኤውሮጳ ውን 5 ግዜ ተዓዊቶምላ ኣለዉ፡ ካብ ዝኾነት ብሪጣንያዊት ክለብ ንላዕሊ።"
"Their 5th success was in Istanbul in 2005.","5ይቲ ዓወቶም ኣብ2005 ኣብ ኢስታምቡል ኔራ።"
"The game was won after Liverpool tied 3–3 with A.C. Milan, after being down 3–0 at half-time.","እታ ጸወታ ሊቨርፑል ምስ ኤሲ-ሚላን 3-3 ድሕሪ ምምዕርራይ ዝተዓወትዋ ኔራ፡ ኣብ ዕረፍቲ 3-0 ተመሪሖም ድሕሪ ምጽንሖም።"
"The Reds then won the penalty shootout, partly due to goalkeeper Jerzy Dudek's saves.","ሽዑ እቶም ቀያሕቲ ነቲ ፍጹም ቅልዓት ተዓዊቶምሉ፡ ከፊላዊ ብሰንኪ ናይ ቦርቴለ ጀርዚይ ዱዴክ ምድሓን።"
"Liverpool F.C.","ሊቨርፑል ኤፍሲ።"
"have won England's top football league 18 times.","ንዝለዓለ ሊግ ኩዕሶ እግሪ ዓዲ-እንግሊዝ 18 ግዜ ተዓዊታትሉ ኣላ።"
"The club's last league title win was the 1989/90 season.","ናይ እታ ክለብ ናይ መወዳእታ ናይ ሊግ ዋንጫ ዓወታ እታ ናይ ክፍለ-ዓመት 1989/90 እያ ኔራ።"
"Liverpool has had two tragedies in their history.","ሊቨርፑል ኣብ ታሪኾም ክልተ ዘሕዝን ፍጻመ ኔርዋ።"
"The first was the Heysel Stadium disaster of 1985 and the second was the Hillsborough disaster in 1989, which lead to the deaths of 96 Liverpool fans.","እታ ቀዳመይቲ እታ ናይ ስታድዩም ሀይሰል ናይ 1985 ድንገት ኔራ እታ ካልአይቲ ከኣ እታ ናይ ሂልስቦሮ ድንገት ኣብ 1989 ኔራ፡ እዚ ናብ ሞት 96 ደገፍቲ ሊቨርፑል ዘብጽሐ ምዃኑ እዩ።"
"Liverpool are widely regarded as one of the best clubs in the world.","ሊቨርፑል ብሰፊሑ ሓንቲ ካብ እተን ዝበለጻ ክለባት ዓለም ተባሂሎም ይምልከቱ እዮም።"
"Players","ተጻወቲ"
"Honours","ክብርታት"
"The Danakil Desert is a desert in northeast Ethiopia, southern Eritrea, and northwestern Djibouti.","ምድረ-በዳ ደንካልያ ኣብ ሰሜናዊ ምብራቅ ኢትይጵያ፥ ደቡባዊ ኤርትራን ሰሜናዊ ምዕራብ ጅቡቲን ዘሎ ምድረ-በዳ ኢዩ።"
"Situated in the Afar Triangle, it stretches across 136,956 square kilometres (52,879 sq mi) of arid terrain.","ኣብ ስሉስ-ኩርናዕ ዓፋር ዝርከብ ኮይኑ ክሳብ 136,956 ኪሎሜተር(52,879 ትርብዒት ማይል) ዝዝርጋሕ ኣጻምእ ኢዩ።"
"The area is known for its volcanoes and extreme heat, with daytime temperatures surpassing 50 °C (122 °F).","እቲ ቦታ ብዘለዎ እሳተ-ጎመራን ብርቱዕ ዋዒን ዝፍለጥ ኮይኑ ሙቑቱ 50 °ሰንትግሬድ(122°ፈረንሃይት) ይሓልፍ።"
"Less than an inch of rainfall occurs each year.","ዓመታዊ ትሕቲ ሓደ ኢንች ዝናብ የጋጥም።"
"The Danakil Desert is one of the lowest and hottest places on Earth.","ምድረ-በዳ ደንካልያ ሓደ ካብ ዝተሓተን ዝወዓየን ቦታት ምድሪ ኢዩ።"
"It is inhabited by a few Afar, who engage in salt mining.","ብ ውሑዳት ኣብ ዕደና ጨው ዝነጥፉ ህዝቢ ዓፋር ይንበር።"
"Geology","ስነ-መሬት"
"Local geology is characterized by volcanic and tectonic activity, various climate cycles, and discontinuous erosion.","ዞባዊ ስነ-መሬት ብ እሳተ-ጎመራዊን ቴክቶኒካዊን ንጥፈታት፥ ዝተፈላለዩ ክሊማዊ ዙረታትን ዝተቆራረጸ ምቡሕጓግን ይልለ።"
"The basic geological structure of this area was caused by the movement of tectonic plates as Africa moved away from Asia.","መሰረታዊ ስነ-መሬታዊ ቅርጺ ናይቲ ቦታ ብምንቅስቓስ ተክቶኒካዊ መሬታት፥ ብምፍልላይ ኣፍሪቓ ካብ ኤስያ ዝሰዓበ ኢዩ።"
"Mountain chains formed and were eroded again during the Paleozoic.","ሰንሰላዊ እምባታት ተፈጠሩን ብድሕሪኡ ድማ እንደገና ኣብ ግዜ ፓለዞዊክ ተባሕጎጉን።"
"Inundations by the sea caused the formation of layers of sandstone, and limestone was deposited further offshore.","ምዕልቅላቅ ብባሕሪ ምፍጣር ናይ ቐጻላታት እምኒ-ሑጻ ኣስዓበ፥ ኣብ ገማግም ድማ እምኒ-ኖራ ተጸፍጸፈ።"
"As the land rose again, further sandstone formed above the limestone.","እቲ መሬት ከም እንደገና ምስ ዓረገ፥ ተወሳኺ እምነ-ሑጻ ኣብ ልዕሊ እምነ-ኖራ ተፈጥረ።"
"Further tectonic shifts caused lava to pour out of cracks and cover the sedimentary deposits.The Danakil Desert has a number of lakes formed by lava flows that dammed up several valleys.","ተወሳኺ ቴክቶኒካዊ ምቕይያራት ፥ ላቫ ብ ነቃዓት ወጺኡ ኣብ ልዕሊ ነቲ እምነ-ሑጻ ክሽፍኖ ኣስዓበ። ምድረ-በዳ ደንካልያ ብዙሓት ብ ምፍሳስ ላቫ ዝተፈጥሩ ዝተፈላለዩ ሩባታት ዝመልኡ ቀላያት ኣለዎ።"
"Among these is Lake Afrera, which has thick saline crusts on its banks.","ሓደ ካብ እዞም ቀላያት ፥ ቀላይ ኣፍረራ ገዚፍ ጨዋም ሽፋን ኣለዎ።"
"The area is flanked toward the east by the Danakil Alps, a tabular mountain system that has a few volcanic cones which peak in height in Mount Ramlo (2,130 metres (7,000 ft)).","እቲ ቦታ ብ ምብራቅ ጎቦታት ደንካሊያ ፥ ስንጠረጃዊ ስርዓት እምባታት ውሑዳት እሳትዊ ኮናት ክሳብ ብቁመት ን እምባ ራልሞ ዝዳረግ(2,130 ሜትሮ(7000 ፉት) ይዳወብ።"
"A deposit of salt up to 800 metres (2,600 ft) thick can also be found in the Salt Plain flatlands.","ክሳብ 800 ሜትሮ(2,600 ፉት) ግዝፊ ዝበጽሕ ናይ ጨው እኩብ ኣብ እቲ ናይ ጨው ጸፊሕ ሰጣሕ-መሬት ክርከብ ይኽእል።"
"Other local lakes include Lake Asale (116 metres (381 ft) below sea level) and Lake Giuletti/Afrera (80 metres (260 ft) below sea level), both of which possess cryptodepressions in the Danakil Depression.","ካልኦት ዞባዊ ቀላያት ቀላይ ኣሳለን ( 116 ሜትሮ (381 ፉት) ትሕቲ ጽፍሒ ባሕሪ) ቀላይ ጁለቲ/ኣፍረራ ( 80 ሜትሮ (260ፉት) ትሕቲ ጽፍሒ ባሕሪ)፣ የጠቃልልን፥ ክልቲአን ድማ ኣብ መታሕት ደንካልያ ክርይፕቶዲፕረሽናት ይርከበን።"
"The Afrera contains many active volcanoes, including the Maraho, Dabbahu, Afdera and Erta Ale.","ኣፍረራ ከም ማሃሮ፥ዳባሁ፣ኣፍደራን አርታ ኣለን ዝኣመሰሉ ንጡፋት እሳተ-ጎመራታት የጠቃልሉ።"
"A school is a place where people go to learn about topics like reading, writing and mathematics.","ቤት ትምህርቲ ሰባት ብዛዕባ ምንባብ፣ ምጽሓፍን ቑጽርን ዝኣመሰሉ ኣርእስታት ንክመሃሩ ዝከድዎ ቦታ ኢዩ።"
"In a school or university, one or more teachers help students to learn.In many places around the world, all children have to go to school for a certain number of years.","ኣብ ቤት ትምህርቲ ወይ ዩኒቨርሲቲ፣ ሓደ ወይ ብዙሓት መምሃራን ተማሃሮ ንክመሃሩ ይሕግዙ። ኣብ መብዛሕትኡ ክፋላት ዓለም፣ ቆልዑ ንዝተወሰነ ግዜ ናብ ቤት ትምህርቲ ክከዱ ኣለዎም።"
"Learning may take place in the classroom, in outside environments or on visits to other places.","ትምህርቲ ኣብ ክላስ፣ ኣብ ከባብያዊ ደገ ወይ ከኣ ኣብ ትዛወሮ ካሊእ ቦታ ክውሰድ ይክእል።"
"Colleges and universities are places to learn for students over 17 or 18.","ኮሎጃትን ዩኒቨርሲትን (ላዕለዋይ ደረጃ ትምህርቲ) ካብ 17 ወይ 18 ንላዕሊ ዝዕድሚኦም ተማሃሮ ዘምህር ቦታ ኢዩ።"
"Vocational schools teach skills people need for jobs.","ናይ ስራሕ ቤት ትምህርታት ሰባት ንስራሕ ዘድልዮም ሞያ ይምህራ።"
"Some people attend school longer than others.","ገለ ሰባት ካብ ካልኦት ሰባት ንንውሕ ዝበለ ግዜ ኣብ ቤት ትምህርቲ ይርከቡ።"
"This is because some jobs require more training than others.","ምክንያት ናይዚ ከኣ ገለ ስራሕ ካብ ካልእ ስራሕ ዝያዳ ልምምድ ስለ ዝጠልብ።"
"For young children, one teacher is able to teach all subjects.","ንናኣሽቱ ቆልዑ፣ ሓደ መምህር ኩሉ ዓይነት ትምህርቲ ክምህሮም ይክእል ኢዩ።"
"Teachers for older students are often specialized and they only teach a few subjects.","መምሃራን ናይ ዓበይቲ ተማሃሮ መብዛሕትኡ ግዜ ፍሉይ ክእለት ዘለዎም(ብሉጻት) ኮይኖም ውሑዳት ዓይነት ትምህርቲ ከኣ ይምህሩ።"
"Common subjects taught include science, arts such as music, humanities, like geography and history, and languages.","ትምህርቲ ልሙዳት ዓይነታት ትምህርቲ፣ ስነ-ፍልጠት፣ ስነ-ጥበብ ከም ሙዚቃ፣ ሰብኣውነት፣ ከም ጀኦግራፊን ታሪኽን፣  ከምኡ ውን ቋንቋታት ዘጠቃለለ ኢዩ።"
"Children with mental issues which are difficult to handle are not required to go to regular schools.","ኣእምሮኣዊ ጸገም ዘለዎም ቆልዑ ንክትኣልዮም ኣሸገርቲ ዝኮኑ፣ ናብ ስሩዕ ቤት-ትምህርቲ ክከዱ ኣይሕተቱን።"
"These children are given other ways to get schooling.","እዚኦም ዓይነት ቆልዑ ትምህርቲ ንምርካብ ካልእ መንገዲ ይወሃቦም።"
"There also are special schools which teach things which regular schools do not.","ገለ ብሉጻት ቤት-ትምህርታት ካልኦት ስሩዓት ቤት-ትምህርታት ዘይምህረኦ ዝምህራ ኣለዋ።"
"Graduate schools are for students who have graduated from college.","ላዕለዎት ደረጃ ቤት-ትምህርታት ንተማሃሮ ካብ ኮለጃት ዝተመረቁ ዝኮና ኢየን።"
"Schools for boys and schools for girls","ቤት-ትምህርታት ንኣወዳት ከማኡ ውን ቤት-ትምህርታት ንኣዋልድ"
"Education for all is quite modern.","ትምህርቲ ንኩሉ  ቁሩብ ግዝያዊ ኢዩ።"
"In England, for example, most people could not read or write, even in the 18th century.","ኣብ ዓዲ እንግሊዝ፣ ንኣብነት፣ መብዛሕትኦም ሰባት ከንብቡ ይኩን ክጽሕፉ ኣይክእሉን ኔሮም ወላ ውን ኣብ 18 ክፍለ ዘመን።"
"We know this because when they got married, those who could not write put an 'X' on the certificate, and someone else wrote their name.","እዚ ዝፈለጥናዮ፣ ምክንያቱ ምስ ተመርዓዉ፣ እቶም ክጽሕፉ ዘይክእሉ ኣብ ሰርትፊኬት ""x"" የቀምጡ፣ ከምኡ ገለ ሰባት ከኣ ስሞም ይጽሕፉ።"
"Mass education for reading and writing began in the 19th century.","ህዝባዊ ትምህርቲ ንምንባብን ምጽሓፍን ኣብ 19 ክፍለ ዘመን ጀሚሩ።"
"Originally, in most countries, boys were taught differently and separately from girls.","መሰረታዊ፣ ኣብ መብዛሕትአን ሃገራት፣ ኣወዳት ብፍሉይን ኣብ ዝተፈልየን ካብ ኣዋልድ ይመሃሩ ኔሮም።"
"Some schools are for boys and some schools are for girls; they only accept boys, or girls, but not both.","ገለ ቤት-ትምህርታት ንኣወዳት ክኮና ከለዋ ገለ ቤት-ትምህርታት ከኣ ንኣዋልድ፣ ኣወዳት ጥራይ ወይ ኣዋልድ ጥራይ ይቅበላ፣ ንክልቲኡ ጾታ ግን ኣይቅበላን።"
"Long ago, most schools were run by religious denominations.","ነዊሕ አዋን ይገብር፣ መብዛሕትአን ቤት-ትምህርታት ብስም ሃይማኖታዊ ይካየዳ(ይነጥፋ) ኔረን።"
"That is because clerics were once almost the only people who were literate.","ምክንያት ናይቲ ከኣ፣ ዳርጋ መብዛሕትኡ ካህናት ጥራይ ኢዮም ዘንብቡን ዝጽሕፉን ኔሮም።"
"Since there are only men in a monastery, this was often also true for the school, which only accepted boys.","ኣብ ገዳማት ኣወዳት ጥራይ ስለ ዝነበሩ፣ እዚ ከኣ ብተወሳኺ መብዛሕትኡ ግዜ ነተን ቤት-ትምህርታት ኣወዳት ጥራይ ንክቕበላ ቅኑዕ ኔሩ።"
"Going to a school also meant learning about religion.","ንቤት-ትምህርቲ ምኻድ ብተወሳኺ ብዛዕባ ሃይማኖት ምምሃር ማለት ኔሩ።"
"Some places still do not have schools for girls.","ገለ ቦታታት ጌና ነዋልድ ዝኸውን ቤት-ትምርቲ የብለንን።"
"School as a place to learn for life","ቤት-ትምህርቲ ከም ቦታ መምሃሪ ሂወት"
"In many parts of the world, schools also help children learn things about life.","ኣብ መብዛሕትኡ ክፋላት ዓለም፣ ቤት-ትምህርታት ብተወሳኺ ንቆልዑ ገለ ብዛዕባ ሂወት መምሃሪ ይሕግዛ።"
"In school, pupils develop their personality.","ኣብ ቤት-ትምህርቲ፣ ሰባት ጠባያቶም የማዕብሉ።"
"Schools teach pupils about religion and ethics.","ቤት-ትምህርቲ ንሰባት ብዛዕባ ሃይማኖትን ስነ ምግባርን ይምህራ።"
"Schools help people recognise socially accepted norms and behaviour.Pedagogy is the science of teaching children.","ቤት-ትምህርታት ንሰባት ኣብ ምዝካር ማሕበራዊ ተቀባልነት ዘለዎም ልምድታትን ጠባያትን ይሕግዛ። ስነ-ምምህርና፣ ስነ-ፍልጠት መምሃሪ ቆልዑ ኢዩ።"
"Different schools use different ways of teaching.","ዝተፈላለያ ቤት-ትምህርታት ዝተፈላለየ ኣገባብ ኣመሃህራ ይጥቀማ።"
"There is quite a lot of disagreement about what and how students should be taught.","ብዛዕባ ተመሃሮ እንታይን ብከመይን ክመሃሩ ከምዘለዎም፣ ገለ ብዝሕ ዝበለ ዘይምስምማዕ ኣሎ።"
"Many countries solve this by allowing different types of school, so parents and children have some choice.","ብዙሓት ሃገራት ነዚ ብዝተፈላለየ ዓይነታት ቤት-ትምህርቲ ብምፍቃድ ይፈትሕኦ፣ ስለዚ ስድራቤታትን ቆልዑን ገለ ምርጫ ይህልዎም።"
"Choices may include home education.","ምርጫታት ናይ ገዛ ትምህርቲ ዘጠቃለለ ክከውን ይኽእል ኢዩ።"
"A coffee ceremony (Amharic: ቡና ማፍላት, translit.","ናይ ቡን ወግዒ"
"bunna maflat) is a ritualized form of making and drinking coffee.","ቡን ምፍላሕ ባህላዊ ልምዲ ናይ ቡን ምስታይ ኢዩ"
"The coffee ceremony was first practiced  in Ethiopia and Eritrea.","ናይ ቡን ወግዒ ንመጀመርታ ግዜ ኣብ ኢትዮጵያን ኣብ ኤርትራን ተገቢሩ"
"There is a routine of serving coffee on a daily basis, mainly for the purpose of getting together with relatives, neighbors, or other visitors.","ምስ ኣዝማድ፡ ጎሮባብቲ፡ ኣጋይሽ ንምዝንጋዕ መዓልታዊ ቡን ምፍላሕ ልምዲ ኢዩ፣"
"If coffee is politely declined, then tea (Chai) will most likely be served.","መብዛሕቴኡ ግዜ፡ ቡን ብትሑት ኣገባብ ተተኣብዩ፡ ሻሂ ይቕረብ"
